SENSOR ID,DATE TIME,VALUE STANDARDIZED
108,2020-07-01 00:46:08,-17.88
109,2020-07-01 00:46:08,-16.33
111,2020-07-01 00:46:08,-16.33
112,2020-07-01 00:46:08,-18.88
113,2020-07-01 00:46:08,-17.99
114,2020-07-01 00:46:08,99.99
115,2020-07-01 00:46:08,-17.77
116,2020-07-01 00:46:08,-16.44
117,2020-07-01 00:46:08,-17.99
118,2020-07-01 00:46:08,-17.66
101,2020-07-01 00:47:39,-18.66
102,2020-07-01 00:47:39,-16.33
103,2020-07-01 00:47:39,-16.66
104,2020-07-01 00:47:39,99.99
109,2020-07-01 00:47:39,-16.11
105,2020-07-01 00:47:39,-17.88
106,2020-07-01 00:47:39,-17.11
107,2020-07-01 00:47:39,-16.00
108,2020-07-01 00:47:39,-17.66
110,2020-07-01 00:47:39,-16.44
111,2020-07-01 00:47:39,-16.11
112,2020-07-01 00:47:39,-18.33
113,2020-07-01 00:47:39,-17.66
114,2020-07-01 00:47:39,99.99
115,2020-07-01 00:47:39,-17.33
116,2020-07-01 00:47:39,-16.11
117,2020-07-01 00:47:39,-17.66
118,2020-07-01 00:47:39,-17.22
101,2020-07-01 00:50:02,-19.88
102,2020-07-01 00:50:02,-16.00
103,2020-07-01 00:50:02,-16.33
104,2020-07-01 00:50:02,99.99
105,2020-07-01 00:50:02,-17.44
106,2020-07-01 00:50:02,-18.66
107,2020-07-01 00:50:02,-17.88
108,2020-07-01 00:50:02,-17.33
112,2020-07-01 00:50:02,-19.66
109,2020-07-01 00:50:02,-17.77
110,2020-07-01 00:50:02,-16.11
111,2020-07-01 00:50:02,-17.88
114,2020-07-01 00:50:02,99.99
115,2020-07-01 00:50:02,-18.88
116,2020-07-01 00:50:02,-17.66
117,2020-07-01 00:50:02,-17.22
113,2020-07-01 00:50:02,-17.33
118,2020-07-01 00:50:02,-18.66
101,2020-07-01 00:52:15,-19.22
102,2020-07-01 00:52:15,-17.88
103,2020-07-01 00:52:15,-16.11
104,2020-07-01 00:52:15,99.99
107,2020-07-01 00:52:15,-17.77
105,2020-07-01 00:52:15,-17.11
106,2020-07-01 00:52:15,-18.22
110,2020-07-01 00:52:15,-17.77
111,2020-07-01 00:52:15,-17.44
112,2020-07-01 00:52:15,-19.11
108,2020-07-01 00:52:15,-18.99
109,2020-07-01 00:52:15,-17.33
113,2020-07-01 00:52:15,-17.00
114,2020-07-01 00:52:15,99.99
115,2020-07-01 00:52:15,-18.33
116,2020-07-01 00:52:15,-17.33
117,2020-07-01 00:52:15,-18.88
118,2020-07-01 00:52:15,-18.33
101,2020-07-01 00:54:11,-19.55
102,2020-07-01 00:54:11,-17.99
103,2020-07-01 00:54:11,-16.33
104,2020-07-01 00:54:11,99.99
105,2020-07-01 00:54:11,-17.33
106,2020-07-01 00:54:11,-18.88
107,2020-07-01 00:54:11,-17.88
108,2020-07-01 00:54:11,-17.33
111,2020-07-01 00:54:11,-17.66
109,2020-07-01 00:54:11,-17.44
110,2020-07-01 00:54:11,-16.33
114,2020-07-01 00:54:11,99.99
115,2020-07-01 00:54:11,-18.99
116,2020-07-01 00:54:11,-17.88
112,2020-07-01 00:54:11,-19.88
113,2020-07-01 00:54:11,-17.33
117,2020-07-01 00:54:11,-17.33
118,2020-07-01 00:54:11,-18.55
101,2020-07-01 00:59:56,-17.33
102,2020-07-01 00:59:56,-16.44
103,2020-07-01 00:59:56,-16.88
106,2020-07-01 00:59:56,-17.44
104,2020-07-01 00:59:56,99.99
105,2020-07-01 00:59:56,-16.00
109,2020-07-01 00:59:56,-16.22
108,2020-07-01 00:59:56,-17.88
110,2020-07-01 00:59:56,-16.88
107,2020-07-01 00:59:56,-17.99
112,2020-07-01 00:59:56,-17.11
113,2020-07-01 00:59:56,-17.88
111,2020-07-01 00:59:56,-16.22
114,2020-07-01 00:59:56,99.99
115,2020-07-01 00:59:56,-17.88
116,2020-07-01 00:59:56,-16.44
117,2020-07-01 00:59:56,-17.88
118,2020-07-01 00:59:56,-17.44
101,2020-07-01 01:01:27,-17.99
